id_bank	idatm	merk_mesin	type_mesin	sn_mesin	cabang	lokasi	alamat
19	MLK04001	NCR			CABANG SANANA	KC SANANA 100K	KC SANANA
19	MLK04002	NCR			CABANG SANANA	KC SANANA II	KC SANANA
19	MLK04003	NCR			CABANG SANANA	DESA BAJO	DESA BAJO KAB KEPULAUAN SULA
19	MLK04004	NCR			CABANG SANANA	RSUD KAB SULA	RSUD KAB KEPULAUAN SULA
19	MLK06001	NCR			CABANG TERNATE	KTR BPKAD TRNATE	KTR BPKAD TRNATE
19	MLK06003	DIEBOLD			CABANG TERNATE	PLAZA TERNATE	PLAZA TERNATE
19	MLK06004	DIEBOLD			CABANG TERNATE	BANDARA TERNATE	BANDARA TERNATE
19	MLK06005	DIEBOLD			CABANG TERNATE	TERNATE MALL	JL. RAYA MERDEKA
19	MLK06007	NCR			CABANG TERNATE	RSUD TERNATE	RSUD TERNATE
19	MLK06008	NCR			CABANG TERNATE	KTR SAMSAT 100K	KANTOR SAMSAT TERNATE
19	MLK06010	NCR			CABANG TERNATE	KC TERNATE IV	KC TERNATE IV 100K
19	MLK09001	NCR			CABANG LABUHA	KC LABUHA	KC LABUHA
19	MLK09002	DIEBOLD			CABANG LABUHA	PELABUHAN BABANG	PELABUHAN BABANG
19	MLK09003	NCR			CABANG LABUHA	KC LABUHA II	KC LABUHA
19	MLK17001	DIEBOLD			CABANG PEMBANTU WEDA	KCP WEDA	KCP WEDA
19	MLK21001	DIEBOLD			CABANG PEMBANTU DARUBA	KC DARUBA	KC DARUBA
19	MLK21002	NCR			CABANG PEMBANTU DARUBA	KANTOR BUPATI	KANTOR BUPATI KEP MOROTAI
19	MLK29001	DIEBOLD			CABANG PEMBANTU FALABISAHAYA	KCP FALABISAHAYA	KCP FALABISAHAYA
19	MLK30001	DIEBOLD			CABANG PEMBANTU BULI	KCP BULI	KCP BULI
19	MLK30002	DIEBOLD			CABANG PEMBANTU BULI	KCP MABA	KCP MABA
19	MLK32001	DIEBOLD			CABANG PEMBANTU LAIWUY	KCP LAIWUY	KCP LAIWUY
19	MLK36001	NCR			CABANG PEMBANTU BOBONG	KCP BOBONG 100K	KCP BOBONG
19		NCR			KCP Weda 	ATM Weda (Area Tambang)	Desa Lelief,awai-kec weda Tengah Kab.Halteng 
19	MLK17002	NCR			KCP Weda 	ATM KCP Weda (Area Tambang)	Desa waibulen-Kec.Weda Tengah-kab.Halteng
19		NCR			KCP Weda 	ATM Weda	Jl.Siwa No.5 Weda Kab.halteng
19		NCR			KC Sanana	Mangoli Tengah	Desa Mangoli, Kec. Mangoli Tengah
19	MLK04005	NCR			KC Sanana	Desa Waiboga	Desa Waiboga, Kec. Sulabesi Tengah
19		NCR			KC Ternate	Pasar Bastiong	Jl. Pasar Bastiong, Ternate Selatan, Kota Ternate
19		NCR			KC Ternate	Pasar Dufa-Dufa	Jl. Pasar Dufa-dufa Ternate Utara, Ternate
