ticket_id	atm_id	service_type	problem_type	reported_problem	reported_peson	entry_date	email_date	accept_time	arrival_time	start_job	end_job	leave_time	pic	status	action_taken	remark	replacement_part	replacement_consume	foto_jobcard	updated	sync	bank
	30012	CM	Dispenser	Dispenser Fault	Bp. Dewo Aryanto	05-Jan-21	05-Jan-21		15:00:00	15:10:00	17:15:00		Erwin	done	Check Dispenser Replace Filter (1) Cup Vacum (8) Pick Line (1) Vacum Pump Lemah, Test Looping OK ATM OK	Visit Location		Filter (1) CV (8) PL (1)				BANK KALTENG
	30008	CM	Processor	Sering Offline		05-Jan-21	05-Jan-21		13:30:00	13:40:00	14:30:00		Erwin	done	Check Port LAN, Pasang USB LAN, Test OK ATM On Line	Visit Location	USB LAN					BANK KALTENG
	50103	CM	Dispenser	Dispenser stack	Bp. Ray	07-Jan-21	07-Jan-21		09:10:00	09:15:00	09:57:00		Susanto	done	Check all device, replace gear Klimping, test all device ok	Visit Location		Gear Clamping				BANK KALTENG
	10010	CM	Dispenser	Temuan Audit		11-Jan-21	11-Jan-21		10:40:00	10:45:00	11:21:00		Susanto	done	Check and Clean All Device, Setting IP Camera, Replace Cassette (2) Ta (2) SW (2) Test All Device OK, Test Trx OK	Visit Location	Cassette (2)	TA (2), SW (2)				BANK KALTENG
	10015	CM	Dispenser	Temuan Audit		11-Jan-21	11-Jan-21		11:30:00	11:35:00	12:02:00		Susanto	done	Check Replace Pengait Cassette Test OK Trx OK	Visit Location						BANK KALTENG
	10011	CM	Dispenser	Temuan Audit		11-Jan-21	11-Jan-21		09:40:00	09:45:00	10:20:00		Susanto	done	Check and Clean All Device, Setting IP Camera, Replace Cassette (2) Ta (2) SW (2) Test All Device OK, Test Trx OK	Visit Location	Cassette (2)	TA (2), SW (2)				BANK KALTENG
	30103	CM	Dispenser	Rak 4 Too Many Pick Failure	Bp. Fahmi Yusuf	11-Jan-21	11-Jan-21		15:10:00	15:15:00	16:30:00		Erwin	done	Check Rak 4, Replace Pick Line (1) Vacum Cup (2) Selenoid (1) Test Looping OK (Duit Baru) Test OK ATM OK	Visit Location		PL (1) VC (2) Selenoid (1)				BANK KALTENG
	30105	CM	Card Reader	Card reader Error	Bp. Fahmi Yusuf	11-Jan-21	11-Jan-21		13:00:00	13:15:00	14:45:00		Erwin	done	Check and Clean CRD, Test Failed Relpace Card Reader Test OK, Tegangan Masuk di CRD 24 Volt	Visit Location	Card Reader					BANK KALTENG
	10021	CM	Receipt Printer	Receipt Prt Error		12-Jan-21	12-Jan-21		10:10:00	10:11:00	10:30:00		Susanto	done	Check and Reoace Receit Printer Test OK, ATM OK	Visit Location	Receipt Printee					BANK KALTENG
	60001	CM	Dispenser	Dispenser		14-Jan-21	14-Jan-21						Susanto	done	Check & clean all device, replace presenter, test all device ok, test trx ok.	Visit Location	Presenter					BANK KALTENG
	40004	CM	Dispenser	Dispenser Sering Error		23-Jan-21	23-Jan-21		15:15:00	15:20:00	16:20:00		Erwin	done	Check Vacum Pump OK, Clean Filtter, Replace Vacum Cup (8) Test Looping 30 Lembar 10X All Rak, TM OK	Visit Location		Vacum Cup (8)				BANK KALTENG
	40005	CM	Dispenser	Offline Dispenser, PM		23-Jan-21	23-Jan-21		13:30:00	13:45:00	14:50:00		Erwin	done	restart Modem ATM Online, Dispenser Error (Cash Unit Error) Replace Magnet Cassette Test OK, ATM OK	Visit Location						BANK KALTENG
	50012	CM	Dispenser	Exit Shutter 		23-Jan-21	23-Jan-21		09:10:00	09:15:00	09:45:00		Susanto	done	Check Device, Self Posisi Belt Service, Test All Device Test OK ATM OK	Visit Location						BANK KALTENG
	300014	CM	Processor	ATM Mati Total		25-Jan-21	25-Jan-21		18:15:00	18:30:00	19:20:00		Erwin	done	Check Device, Replace PC Core Test OK ATM OK	Visit Location	Processor					BANK KALTENG
