ticket_id	atm_id	service_type	problem_type	reported_problem	reported_peson	entry_date	email_date	accept_time	arrival_time	start_job	end_job	leave_time	pic	status	action_taken	remark	replacement_part	replacement_consume	foto_jobcard	updated	sync	bank
		OT	Dispenser	Dispenser		01-Jan-21	01-Jan-21						Marlon	done	Check error dispenser fatal, check device tdk ada uang nyangkut, check error diagnostik belt transport jam, sensor ts5, bersihkan sensor ts5, clear error ok, test ok, test transaksi ok, atm ready	Guide by Phone						BANK MALUKU MALUT
		OT	Dispenser	Dispenser		04-Jan-21	04-Jan-21						Marlon	done	Check error, presenter/stacker error, check device tdk ada uang nyangkut, check error diagnostik not jam transport sensor 2 failur, bersihkan sensor 2, clear error ok, test ok, test transaksi ok, atm ready	Guide by Phone						BANK MALUKU MALUT
		CM	Dispenser	Dispenser		05-Jan-21	05-Jan-21						Marlon	done	Check error, presenter/stacker error, check device, check error diagnostik pre-lvdt, clear error ok, test ok, test transaksi ok, atm ready	Visit Location						BANK MALUKU MALUT
		CM	Card Reader	Card Reader		05-Jan-21	05-Jan-21						Marlon	done	Check error, card jam, check device ok, clear error card reader ok, test ok, test transaksi ok, atm ready	Visit Location						BANK MALUKU MALUT
		CM	Software	SW dan HDD		06-Jan-21	06-Jan-21						Michael	done	Check error, HDD dan SW, ganti HDD dan instal ulang, check device ok, test ok, test transaksi ok, atm ready	Visit Location	HDD					BANK MALUKU MALUT
	MLK11203	CM	Hard Disk	HDD Bad Sector		07-Jan-21	07-Jan-21		09:20:00	09;23	13:30:00		Marlon	done	Replace hdd, Instal ulang, input ip, seting kamera, autentik, seting parameter, test ok, test transaksi ok, atm ready	Visit Location	HDD					BANK MALUKU MALUT
	MLK06005	CM	Card Reader	Card Reader		11-Jan-21	11-Jan-21		15:21:00	15:42:00	16:27:00		Rizky	done	Check error,masukan kartu ditolak,ganti card reader,tes card reader ok,,tesh cash Good,Test TRX ok,ATM ready	Visit Location	Card Reader					BANK MALUKU MALUT
	MLK01102	CM	Card Reader	Card Reader		11-Jan-21	11-Jan-21						Marlon	done	Check error, hardware fault, check error diagnostik card reader shutter state jamed, reset test failed, check device, kertas nyangkut di shutter card reader, bersihkan, test ok, atm ready	Visit Location						BANK MALUKU MALUT
	MLK01009	CM	Dispenser	Dispenser		12-Jan-21	12-Jan-21						Marlon	done	Check error, check device, uang nyangkut dan robek, check consume, consume hancur, replace consume, check belt picker ok, reset test ok, test cash ok, test transaksi ok, atm ready	Visit Location		FS (2) SW( 2)TA(2)SF(1)				BANK MALUKU MALUT
	MLK01005	CM	Dispenser	Dispenser		12-Jan-21	12-Jan-21						Marlon	done	Check error, top cash error, ceck error diagnostik too many pick failure, check uang ok, test failur, uang tdk naik, check angin ok, check cup vakum ok, test failur, check pick line, pick lain pecah, replace pick line, test lern per rak, rak 1-3-4 ok, rak 2 uang naik lmbat, replace pick line rak 2, test ok, test cash kaset 1-2-3-4 good, test transaksi ok, atm ready	Visit Location		Pickline (2)				BANK MALUKU MALUT
	MLK04005	CM	Dispenser	Presenter TDK terdetek		14-Jan-21	14-Jan-21						Rizky	done	Check error',masuk diagnosis,presenter TDK terdetek,ganti controal bord,msuk diagnosis,autentik,clear all ok,tesh cash good,Test TRX ok,ATM ready	Visit Location	Control Board					BANK MALUKU MALUT
	MLK04010	CM	Card Reader	TIDAK BISA PENARIKAN		14-Jan-21	14-Jan-21						Rizky	done	Check error',masukan kartu,kartu tolak',ganti card reader,masuk dignosisclear error',tesh card reader,good,tesh cash Good,Test TRX ok,ATM ready	Visit Location	Card Reader					BANK MALUKU MALUT
	MLK29001	CM	PM	PM		16-Jan-21	16-Jan-21		20:23:00	21:31:00	21:47:00		Rizky	done	P.M ganti fatsafe,tesh cash Good,Test TRX ok,ATM ready	Visit Location		FS				BANK MALUKU MALUT
	MLK20002	CM	Card Reader	CRD (intermittent) dan camera		16-Jan-21	16-Jan-21		10:05:00	10:45:00	12:28:00		Marlon	done	Replace card reader, test ok, check camera, test camera tdk merekam, pindah slot usb camera, test camera tetap tdk merekam, replace camera, test ok, seting penyimpanan camera, atm ready Card Reader 1qty (bad di repair di daerah dan di jadikan stock), 	Visit Location	Card Reader	Camera				BANK MALUKU MALUT
	MLK20002	CM	Software	Tidak bisa masuk windows		17-Jan-21	17-Jan-21		08:55:00	09:10:00	10:30:00		Marlon	done	Reinstal ulang SW, masuk windows ok, input ip, restart atm, autentik, test semua device ok, check consume, replace filter, test ok, test trx ok, atm ready	Visit Location		Filter (!)				BANK MALUKU MALUT
	MLK29001	CM	Dispenser	Presenter		17-Jan-21	17-Jan-21						Rizky	done	Check error',tesh cash presenter error',ganti presenter,autentik,tesh cash Good,Test TRX ok,ATM ready	Visit Location	Presenter					BANK MALUKU MALUT
	MLK35004	CM	Processor	EJ TIDAK MENYIMPAN		17-Jan-21	17-Jan-21		14:37:00	14:46:00	15:55:00		Ari	done	Replace betrei bios , setting tgl/bulan/tahun dan waktu , check ej ok , check all device ok , atm ready	Visit Location		Batrey CMOS				BANK MALUKU MALUT
	MLK28001	CM	Dispenser	Presenter Error		18-Jan-21	18-Jan-21		11:20:00	11:25:00	12:40:00		Ari	done	Check error , replace belt feed module 4 track 3qty,feedsaft 1qty striper well ,take well ,fender , check all device ok , atm ready	Visit Location		Belt fm 4 track 3qty,feedsaft 1qty striper well ,take well ,fender				BANK MALUKU MALUT
	MLK07002	CM	Processor	PC Mati Total 		19-Jan-21	19-Jan-21		11:30:00	11:32:00	13:40:00		Ari	done	Check and Replace PC Gaibo , check all device ok ,  test all device ok , ATM ready	Visit Location	PC Haibo					BANK MALUKU MALUT
	MLK21004	CM	Monitor	Monitor Mati Total		20-Jan-21	20-Jan-21		14:11:00	14:15:00	15:26:00		Ari	done	Check Replce Monitor, Test OK ATM OK Trx OK	Visit Location	Monitor					BANK MALUKU MALUT
		CM	Dispenser	Dispenser Error		22-Jan-21	22-Jan-21						Marlon	done	Check error, staker error, clear error failed, check device ok, check error diagnostik, purge bin full, check kaset rejeck, rejeck full dan nyangkut, kosongkan uang di kaset rejeck, test ok, test trx ok, atm ready	Guide by Phone						BANK MALUKU MALUT
		CM	Dispenser	Riject Full		23-Jan-21	23-Jan-21		14:30:00	15:00:00	21:00:00		Michael	done	Check Device Replce Stacker, Feed Module Rak 1, HDD Test OK On Line ATM OK	Visit Location	Stcker, HDD, FM					BANK MALUKU MALUT
