ticket_id	atm_id	service_type	problem_type	reported_problem	reported_peson	entry_date	email_date	accept_time	arrival_time	start_job	end_job	leave_time	pic	status	action_taken	remark	replacement_part	replacement_consume	foto_jobcard	updated	sync	bank
	150	PM	PM	Prefentive Maintenance	Atm Center	01-Feb-21	01-Feb-21		15:00:00	15:01:00	16:00:00		Irfan	done	Clean all device,prosedur pm,test transaksi,Atm ready 	Visit Location						BANK SULTENG
	149	PM	PM	Prefentive Maintenance	Atm Center	01-Feb-21	01-Feb-21		10:00:00	10:05:00	11:00:00		irfan 	done	Clean all device,prosedur pm,test transaksi,Atm ready 	Visit Location						BANK SULTENG
	148	PM	PM	Prefentive Maintenance	Atm Center	01-Feb-21	01-Feb-21		09:10:00	09:15:00	10:00:00		irfan 	done	Clean all device,prosedur pm,test transaksi,Atm ready 	Visit Location						BANK SULTENG
	SLH0016	IN	Installtion	Upgrade SW Monitoring 	Atm Center	01-Feb-21	01-Feb-21		10:55:00	11:05:00	12:10:00		Yatno	done	Back up sw dan ig, Install sw ,Input Ip parameter,Test Ok,Atm Ok 	Visit Location						BANK SULTENG
	SLH0159	IN	Installtion	Upgrade SW Monitoring 	Atm Center	01-Feb-21	01-Feb-21		12:20:00	12:30:00	13:15:00		Yatno	done	Back up sw dan ig, Install sw ,Input Ip parameter,Test Ok,Atm Ok 	Visit Location						BANK SULTENG
	SLH0068 	PM	PM	Prefentive Maintenance	Atm Center	02-Feb-21	02-Feb-21		10:05:00	10:15:00	11:00:00		Yatno	done	Clean all device,prosedur pm,Replace consume part,test transaksi,Atm ready 	Visit Location		FS(1),TW(2),SW(2)				BANK SULTENG
	SLH0038	PM	PM	Prefentive Maintenance	PIC	02-Feb-21	02-Feb-21		11:30:00	11:40:00	12:30:00		Yatno 	done	Clean all device,prosedur pm,Replace consume part,test transaksi,Atm ready 	Visit Location		fs(3), TW(3),sw(3)				BANK SULTENG
	109	IN	Installtion	Upgrade SW Monitoring 	Atm Center	02-Feb-21	02-Feb-21		13:00:00	13:10:00	17:00:00		irfan	done	Back up data, install sw agent,setting ip port,Test atm 	Visit Location						BANK SULTENG
	SLH0163	IN	Installtion	Upgrade SW Monitoring 	Atm Center	02-Feb-21	02-Feb-21		14:30:00	14:45:00	16:05:00		yatno 	done	Back up data, install sw agent,setting ip port,Test atm 	Visit Location						BANK SULTENG
	SLH0091	PM	PM	Prefentive Maintenance	Atm Center	03-Feb-21	03-Feb-21		18:35:00	18:40:00	19:30:00		YATNO 	done	Clean all device, replace cup vacum, reset eror log,check log,check kamera ,Atm ready 	Visit Location		Cup vacum(8) filter (1)				BANK SULTENG
	SLH0091	CM	Dispenser	Cash Handler	Atm Center	03-Feb-21	03-Feb-21		15:45:00	16:15:00	17:30:00		YATNO 	done	Clear eror failed.test preasure,replace consume, test transaksi .ATM Ok 	Visit Location		Pickline(4),dwell,test lopping tak 1-4				BANK SULTENG
	152	IN	Installtion	Upgrade SW Monitoring 	Atm Center	03-Feb-21	03-Feb-21		09:00:00	09:10:00	12:15:00		IRFAN 	done	Back up data,install agent monitoring,setting ip part,test atm ok ready 	Visit Location						BANK SULTENG
	48	CM 	Printer 	Printer eror	Fadli 	04-Feb-21	04-Feb-21		13:00:00	13:05:00	14:50:00		IRFAN 	done	Check devise,bongkar printer dan bersihkan,setting kembali accu untuk printer  snow,test atm ok 	Visit Location						BANK SULTENG
		IN	Installtion	Upgrade SW Monitoring 	Atm Center	05-Feb-21	05-Feb-21		10:00:00	10:10:00	14:30:00		IRFAN 	done	Back up data,install agent monitoring,setting ip part,test atm ok ready 	Visit Location						BANK SULTENG
	SLHID0095	CM 	Dispenser	Belt transport Putus 	Atm Center	09-Feb-21	09-Feb-21		10:35:00	11:15:00	13:05:00		YATNO 	done	Replace presenter,adjust sensor presenter,Test atm ready	Visit Location		Transport.Prest				BANK SULTENG
	SLH0032	PM	PM	Prefentive Maintenance	Atm Center	10-Feb-21	10-Feb-21		13:30:00	13:35:00	14:20:00		YATNO	done	Clean all device, pm prosedure,clean consume, Test ok ,Atm Ready 	Visit Location						BANK SULTENG
	SLHID134	PM	PM	Prefentive Maintenance	Atm Center	10-Feb-21	10-Feb-21		14:30:00	14:35:00	15:20:00		YATNO 	done	Clean all devise,PM procedure,replace cup vacum 8.Setting Dwhell,Test Lopping,Atm Ready 	Visit Location						BANK SULTENG
	SLHID0032	CM 	EPP	EPP EROR	Atm Center	10-Feb-21	10-Feb-21		12:55:00	13:00:00	13:25:00		YATNO 	done	check epp, pnp kabel epp,restart atm,reset device,Test Ok, Atm Ready 	Visit Location						BANK SULTENG
