ticket_id	atm_id	service_type	problem_type	reported_problem	reported_peson	entry_date	email_date	accept_time	arrival_time	start_job	end_job	leave_time	pic	status	action_taken	remark	replacement_part	replacement_consume	foto_jobcard	updated	sync	bank
		CM	Card Reader	Card Reader Error	Bpk. Sakti	01-Jan-21	01-Jan-21		23:00:00	23:10:00	00:10:00		Irfan	done	Check device, roller card rider pecah,replace roller card rider,Test transaksi Oke	Visit Location		Roller Crd				BANK SULTENG
	149	CM	Dispenser	Cash Handler	Bpk. Sakti	02-Jan-21	02-Jan-21		12:30:00	13:00:00	13:05:00		Irfan	done	Check device,clamping Stuck,Clera Error test transaksi, Atm ready.Ok	Visit Location						BANK SULTENG
	150	CM	Dispenser	Cash Handler	Bpk. Sakti	02-Jan-21	02-Jan-21		10:00:00	10:05:00	10:10:00		Irfan	done	Check device,replace cup vacum,Atm Ready Ok	Visit Location		Cup Vacum (4)				BANK SULTENG
	146	CM	Dispenser	Cash Handler	Bpk. Sakti	02-Jan-21	02-Jan-21		09:05:00	09:10:00	09:50:00		Irfan	done	Check device,Stuck Error Replace cup vacum,Atm Ready Ok	Visit Location		Cup Vacum (2)				BANK SULTENG
		CM	Dispenser	Cash Handler	ATM Center	02-Jan-21	02-Jan-21		11:30:00	11:45:00	15:30:00		Yatno	done	Check and Clear Error Set Dwheel Replace Cup Vacum Test Looping Test Cash Good ATM ready	Visit Location		Cup Vacum (1)				BANK SULTENG
		CM	Dispenser	Cash Handler	ATM Center	02-Jan-21	02-Jan-21		16:00:00	16:15:00	17:05:00		Yatno	done	Check and Clear All Device Set Dwheel Replace Cup Vacum Test Looping Test Cash Good ATM ready	Visit Location		Cup Vacum (1)				BANK SULTENG
		CM	Dispenser	Cash Handler	Bpk. Fadli	05-Jan-21	05-Jan-21		10:00:00	10:10:00	10:55:00		Irfan	done	Replace take away,Atm ready OK	Visit Location		Take Away				BANK SULTENG
	48	CM	Receipt Printer	Printer Error	Bpk. Fadli	05-Jan-21	05-Jan-21		09:00:00	09:05:00	10:00:00		Irfan	done	Ceck device, gear cutter aus, replace printer snow, set accu, restar, test ok test trx ok, Atm ready	Visit Location	Receipt Printer					BANK SULTENG
	56	PM	PM	Prefentive Maintenance	Bpk. Refly	07-Jan-21	07-Jan-21		11:00:00	11:05:00	11:50:00		irfan	done	PM Procedure replace consume ok, atm ready 	Visit Location		fs(2) sw(4),tw(1)				BANK SULTENG
	56	CM	Dispenser	Cash Handler	Bpk. Refly	07-Jan-21	07-Jan-21		09:00:00	09:30:00	10:55:00		irfan	done	Check device, pm snap patah,fs aus, Replace pm snap. Atm Ready ok 	Visit Location		Pin Snap Latch, FS				BANK SULTENG
		CM	Dispenser	Dispenser Error	ATM Center	11-Jan-21	11-Jan-21		10:45:00	11:00:00	12:15:00		Yatno	done	Check All Device Replace FS(2) SW(2),TA(1) Test OK - ATM Ready	Visit Location		FS(2) SW(2),TA(1)				BANK SULTENG
		OT	Dispenser	Stacker error		13-Jan-21	13-Jan-21						Yatno	done	Ceck device, ada uang nyangkut di clamping, test not good, ceck error, device not autentic, autentic, test Ok, test trx ok, ATM ready.	Guide by Phone						BANK SULTENG
		CM	Jaringan	ATM Offlin	ATM Center	11-Jan-21	11-Jan-21		18:55:00	19:00:00	19:30:00		Yatno	done	Check and Test Gorection Check IP Set Configure Test OK ATM Ready	Visit Location						BANK SULTENG
	139	CM	Processor	HDD Not Detect	ATM Center	12-Jan-21	12-Jan-21		10:10:00	10:15:00	14:15:00		Yatno	done	Check and Replace HDD Install SW Monior Blank Replace Power Supply Input Parameter Test OK ATM Ready	Visit Location	Power Supply, HDD					BANK SULTENG
		CM	Dispenser	Cash Handler inttermitent	ATM Center	14-Jan-21	14-Jan-21		10:00:00	11:00:00	16:30:00		Yatno	done	Check presenter vacum pump sudah tidak layak waiting part vacum pump dari sdr Yatno Replace vacum pump, test learn 10 notes all pick module ok  ATM online ok transaction ok	Visit Location	Vacum Pump	pick line (2), cup vacum (8)				BANK SULTENG
	148	CM	Receipt Printer	Kertas tidak keluar	Bpk. Sakti	15-Jan-21	15-Jan-21		11:00:00	13:30:00	14:20:00		Irfan	done	Check printer, kencangkan baut ,buka pasang kertas printer , am ready ok 	Visit Location						BANK SULTENG
	146	CM	Dispenser	Cash Handler	Bpk. Sakti	15-Jan-21	15-Jan-21		14:20:00	14:35:00	15:30:00		irfan	done	Check Clamping Nyangkut, Reposisi clamping Test OK 	Visit Location						BANK SULTENG
		CM	Dispenser	Cash Handler inttermitent	ATM Center	15-Jan-21	15-Jan-21		15:00:00	15:30:00	16:30:00		Rendy	done	Check All device, check error loh and service tailes, to many pick failure at pick module 1&2 Replace pick line, replace Cup vacum Check Angin presenter Ok test ATM online ok transaction oklearn 10 notes all pick module ok 	Visit Location		pick line 2 pcs, cup vacum 8 pcs 				BANK SULTENG
		CM	Dispenser	Cash Handler	ATM Center	16-Jan-21	16-Jan-21		14:00:00	14:30:00	16:30:00		Rendy	done	Check All device, uang sering tersangkut di sticker. Reposisi plat stacker Replace pick line, replace Cup vacum Check Angin presenter Ok, test learn 10 notes all pick module ok ATM online ok transaction ok 	Visit Location		pick line 2 pcs, cup vacum 8 pcs 				BANK SULTENG
		CM	Dispenser	Dispenser Error	ATM Center	20-Jan-21	20-Jan-21		12:30:00	13:40:00	14:30:00		Yatno	done	Replace interface , casete 1 dan 2 no detect,Test Transaksi Ok 	Visit Location	Interface					BANK SULTENG
	0069	CM	FDK / Receipt Printer	FDK Broken / PRT Jam	ATM Center	22-Jan-21	22-Jan-21		13:35:00	13:45:00	15:30:00		Yatno	done	Check Device, Repir Dudukan FDK dan Printer Test OK, Trx Ok, ATM OK	Visit Location						BANK SULTENG
	80	CM	Card Reader	CRD Error	Bpk. Ivan T.	25-Jan-21	25-Jan-21		10:05:00	10:15:00	11:10:00		Irfan	done	Check Device Replace Clipt Detector Test Unit Good, Replace CRD Test OK, ATM OK	Visit Location		Card Reader				BANK SULTENG
				Cash Handler	Bpk. Budianto	26-Jan-21	26-Jan-21						Yatno	done	Check Sensor 4, Belt Drump Transport Lepas Request Part Presenter dan Belt Inner 1 Set							BANK SULTENG
	140	PM	PM	Prefentive Maintenance	ATM Center	26-Jan-21	26-Jan-21		14:00:00	14:30:00	15:10:00		Irfan	done	Check All Device PM Procedure Test OK ATM OK	Visit Location						BANK SULTENG
	122	PM	PM	Prefentive Maintenance	ATM Center	26-Jan-21	26-Jan-21		09:30:00	10:00:00	10:50:00		Irfan	done	Check All Device PM Procedure Test OK ATM OK	Visit Location						BANK SULTENG
	33	IN	Installtion	Install Agent Monitoring	ATM Center	27-Jan-21	27-Jan-21		08:30:00	08:45:00	09:30:00		Yatno	done	Check Back Up IP dan Journal Install SW Agent Monitoring Input IP Parameter Test Connection OK ATM Ready	Visit Location						BANK SULTENG
	33	PM	PM	Prefentive Maintenance	ATM Center	27-Jan-21	27-Jan-21		09:35:00	09:40:00	10:25:00		Yatno	done	Check Clean All Device PM Procedure Replace Roller CRD (2) FS (4) TA (4) SW (4) BP (3) Test OK ATM OK	Visit Location		Roller CRD (2) FS (4) TA (4) SW (4) BP (3) 				BANK SULTENG
	87	CM	Dispenser	Dispenser Error	ATM Center	27-Jan-21	27-Jan-21		11:00:00	11:15:00	17:10:00		Yatno	done	Check and Clear Error Pick Failure Cassette Empty, Replace Pick IF , Control Board Test Ok ATM OK	Visit Location	Control Board, Pick IF					BANK SULTENG
	87	PM	PM	Prefentive Maintenance	ATM Center	27-Jan-21	27-Jan-21		14:15:00	14:20:00	15:30:00		Yatno	done	Check Clean All Device PM Procedure Replace Pickline (4) Vacum Cup (8) Set Dwhell Test Looping OK ATM Ready	Visit Location		Pickline (4) Vacum Cup (8				BANK SULTENG
	37	IN	Installtion	Install Agent Monitoring	ATM Center	28-Jan-21	28-Jan-21		08:20:00	08:25:00	09:30:00		Yatno	done	Check Back Up IP dan Journal Install SW Agent Monitoring Input IP Parameter Test Connection OK ATM Ready	Visit Location						BANK SULTENG
	37	PM	PM	Prefentive Maintenance	ATM Center	28-Jan-21	28-Jan-21		09:35:00	09:40:00	10:45:00		Yatno	done	Check Clean All Device PM Procedure FS (4) TA (4) SW (4) Test OK ATM Ready	Visit Location						BANK SULTENG
	23	IN	Installtion	Install Agent Monitoring	ATM Center	28-Jan-21	28-Jan-21		11:15:00	11:20:00	12:55:00		Yatno	done	Check Back Up IP dan Journal Install SW Agent Monitoring Input IP Parameter Test Connection OK ATM Ready	Visit Location						BANK SULTENG
		IN	Installtion	Install Agent Monitoring	ATM Center	28-Jan-21	28-Jan-21		13:40:00	13:45:00	14:40:00		Yatno	done	Check Back Up IP dan Journal Install SW Agent Monitoring Input IP Parameter Test Connection OK ATM Ready	Visit Location						BANK SULTENG
